IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
150.230.254.196,34237,true,ICN,亚太,KR,韩国,首尔,79 ms,0.00
104.234.102.72,52415,true,LAX,北美洲,US,美国,洛杉矶,189 ms,0.00
140.83.83.65,9872,true,KIX,亚太,JP,日本,大阪,302 ms,0.00
103.20.199.166,6666,true,NRT,亚太,JP,日本,东京,99 ms,0.00
140.120.44.31,11449,true,TPE,亚太,TW,台湾,台北,314 ms,0.00
146.56.110.217,2186,true,ICN,亚太,KR,韩国,首尔,89 ms,0.00
149.62.44.233,41166,true,NRT,亚太,JP,日本,东京,62 ms,0.00
103.20.199.196,8882,true,NRT,亚太,JP,日本,东京,97 ms,0.00
103.20.199.101,30860,true,NRT,亚太,JP,日本,东京,86 ms,0.00
103.20.199.118,12999,true,NRT,亚太,JP,日本,东京,85 ms,0.00
45.144.48.122,443,true,WAW,欧洲,PL,波兰,华沙,270 ms,0.00
147.135.211.200,8443,true,WAW,欧洲,PL,波兰,华沙,312 ms,0.00
103.151.40.23,31262,true,NRT,亚太,JP,日本,东京,98 ms,0.00
141.147.155.5,54443,true,KIX,亚太,JP,日本,大阪,298 ms,0.00
139.180.136.178,29806,true,SIN,亚太,SG,新加坡,新加坡,321 ms,0.00
206.238.236.8,2096,true,LAX,北美洲,US,美国,洛杉矶,264 ms,0.00
108.165.152.169,2087,true,LAX,北美洲,US,美国,洛杉矶,239 ms,0.00
154.211.8.152,2053,true,LAX,北美洲,US,美国,洛杉矶,240 ms,0.00
141.11.79.224,65250,true,HKG,亚太,HK,香港,香港,211 ms,0.00
146.56.110.135,34237,true,ICN,亚太,KR,韩国,首尔,85 ms,0.00
108.165.152.14,2096,true,LAX,北美洲,US,美国,洛杉矶,243 ms,0.00
101.32.247.126,725,true,SIN,亚太,SG,新加坡,新加坡,220 ms,0.00
103.116.7.248,443,true,LAX,北美洲,US,美国,洛杉矶,210 ms,0.00
146.56.166.59,46060,true,ICN,亚太,KR,韩国,首尔,138 ms,0.00
27.50.49.154,2083,true,LAX,北美洲,US,美国,洛杉矶,217 ms,0.00
47.56.196.176,10443,true,HKG,亚太,HK,香港,香港,45 ms,0.00
139.162.48.174,10000,true,SIN,亚太,SG,新加坡,新加坡,321 ms,0.00
27.50.49.209,2087,true,LAX,北美洲,US,美国,洛杉矶,228 ms,0.00
103.116.7.230,443,true,LAX,北美洲,US,美国,洛杉矶,209 ms,0.00
103.116.7.67,2083,true,LAX,北美洲,US,美国,洛杉矶,208 ms,0.00
154.3.38.140,22388,true,HKG,亚太,HK,香港,香港,125 ms,0.00
27.50.49.47,2083,true,LAX,北美洲,US,美国,洛杉矶,205 ms,0.00
27.50.49.242,8443,true,LAX,北美洲,US,美国,洛杉矶,201 ms,0.00
154.211.8.47,2096,true,LAX,北美洲,US,美国,洛杉矶,203 ms,0.00
103.116.7.133,2083,true,LAX,北美洲,US,美国,洛杉矶,201 ms,0.00
154.211.8.98,2087,true,LAX,北美洲,US,美国,洛杉矶,201 ms,0.00
146.56.112.139,19276,true,ICN,亚太,KR,韩国,首尔,85 ms,0.00
61.41.237.69,10443,true,ICN,亚太,KR,韩国,首尔,122 ms,0.00
61.220.65.189,27114,true,TPE,亚太,TW,台湾,台北,164 ms,0.00
103.116.7.103,2083,true,LAX,北美洲,US,美国,洛杉矶,200 ms,0.00
45.194.53.81,2087,true,LAX,北美洲,US,美国,洛杉矶,201 ms,0.00
103.20.199.196,8882,true,NRT,亚太,JP,日本,东京,100 ms,0.00
38.148.254.240,12325,true,LAX,北美洲,US,美国,洛杉矶,200 ms,0.00
206.238.236.29,2087,true,LAX,北美洲,US,美国,洛杉矶,201 ms,0.00
59.3.3.161,443,true,ICN,亚太,KR,韩国,首尔,163 ms,0.00
172.84.92.152,58723,true,NRT,亚太,JP,日本,东京,121 ms,0.00
210.61.97.241,81,true,KHH,亚太,TW,台湾,高雄,84 ms,0.00
141.11.139.211,8443,true,NRT,亚太,JP,日本,东京,104 ms,0.00
106.240.1.52,20443,true,ICN,亚太,KR,韩国,首尔,89 ms,0.00
140.238.8.194,15800,true,ICN,亚太,KR,韩国,首尔,158 ms,0.00
152.70.245.66,12693,true,ICN,亚太,KR,韩国,首尔,170 ms,0.00
146.56.110.148,26778,true,ICN,亚太,KR,韩国,首尔,80 ms,0.00
8.210.200.31,11991,true,HKG,亚太,HK,香港,香港,64 ms,0.00
